AUS;AUT;BEL;CAN;CHL;DEU;DNK;ESP;FIN;FRA;GBR;GRC;IRL;ISL;ISR;ITA;JPN;KOR;LUX;NLD;NOR;NZL;PRT;SWE;USA
29.13230621;30.17777184;25.3590263;23.02047508;15.25514743;27.7402537;27.08031685;27.43001952;30.62710592;26.16172887;23.28587424;34.32690334;25.01807105;35.49980996;32.50103178;25.48955595;36.37156253;22.77020843;21.53974959;25.57248714;30.07050058;24.87392949;28.67591288;27.48949982;22.16878771
28.55388088;30.06396007;26.90506834;23.95295479;20.64356596;24.9755261;26.05800196;29.02807634;31.76078513;26.76063042;24.71303993;26.3543388;24.39724589;37.56610302;31.28072214;26.79343297;34.76566687;25.47961123;19.3893797;23.03275023;31.80164784;27.82877038;27.81433078;26.98866429;21.73913043
25.92082132;28.21426312;26.58812882;24.77985576;21.54867108;23.68014526;23.16262608;27.41874628;33.45188319;25.34778567;24.03453704;26.24155593;22.51254988;36.57354488;29.42342872;25.7070527;32.43566265;25.29454414;21.89943381;23.02543188;34.76598642;30.20135407;27.72891249;26.29167977;20.59955475
26.28060218;27.55548396;26.02886908;23.99143644;16.17571353;23.50114806;25.11755411;25.85943862;29.88597304;24.92291824;23.71548861;26.82955935;24.77897324;31.91378694;25.78909576;24.57528052;31.16854831;24.07153589;19.66257579;22.01594683;37.09737455;26.90170297;26.81232676;26.62136104;21.07755154
25.85131095;28.41837685;25.51550613;23.36372403;16.247273;23.78534199;24.30551782;24.82400176;29.17248027;24.03239593;22.50795672;30.51387226;24.52839416;30.90065957;21.54273801;24.46256518;30.14359249;26.82382287;19.7873614;23.25844369;37.22756236;24.4024522;28.34701456;26.53460047;22.40945373
26.38176095;26.43863087;25.51575854;22.99959681;17.90374752;24.33074872;23.96224741;23.50613048;25.87120911;23.58922289;22.13829405;33.97565711;27.3988153;27.5723391;23.33122763;23.83656281;30.38813538;30.80495651;18.98869379;23.31695673;31.7871318;23.55840816;29.86793552;24.44128546;23.68484704
26.74374446;26.71323109;24.35738351;23.38942762;18.16095574;25.24497022;23.23667112;22.38504992;25.1975932;23.51475853;22.26553719;36.28196501;30.20345253;26.6445235;25.87098224;23.90593181;31.65679918;31.88514438;19.2470622;22.5703039;30.49426351;21.38425559;28.43179509;24.93405708;24.38206174
26.46701951;27.44085368;24.82435572;23.76772899;16.64471915;25.94465452;21.01564865;22.8951641;27.29944778;24.3504681;21.48039671;31.41011267;28.3300806;28.81668922;21.98957101;25.33579448;31.55263326;30.33079844;21.40218156;23.16017766;27.90319185;21.66593319;30.56688294;25.41377161;23.48917558
28.45155817;27.34969579;21.5622665;25.14281349;18.60676178;24.77788441;17.50378763;22.77337026;27.10400588;23.83963977;19.46544772;28.65303351;29.37128616;27.97285543;22.25247786;25.45154476;30.56016549;26.34951389;20.07056056;21.23979464;28.17817448;24.70224395;33.00162966;23.90829571;23.31926688
29.01342175;24.67125975;20.29937386;22.65513683;14.20362957;23.37770715;18.32419089;22.54335215;27.39837968;23.16753749;19.46796964;25.93581892;26.25767894;27.8940773;22.80808846;23.98039613;29.36377149;26.70261105;19.72678903;20.59977653;28.34007296;25.73000181;33.23390402;23.73844226;22.50828852
26.60421372;23.80227853;18.72402571;21.11948003;12.03690069;23.60873995;18.65743595;21.92723583;27.77150031;21.86328154;19.31263371;27.79281563;22.91524144;24.52880956;23.34255997;22.64674722;27.74804375;27.55980861;16.76679776;20.49116993;28.90314173;25.83809153;31.21475213;24.10437195;22.38588949
26.08088411;23.30243674;18.37035764;20.32160936;12.40945306;23.15069368;19.7303348;20.09639749;26.30191783;21.2158704;20.45724695;22.47861211;21.23046062;24.19382592;20.53431196;22.48490495;27.34847985;27.18745269;15.82689289;21.00992414;27.52534127;26.35940907;25.21937446;24.50181112;23.45787477
27.08738567;23.93469935;18.82537541;20.89132444;16.84521554;22.64004114;21.60333522;20.637535;26.63292442;21.10244586;20.47037254;24.14666996;18.85636567;23.41066324;18.77131857;22.07098288;27.55157791;26.80041796;13.95077204;21.77571378;25.98799435;27.34961958;23.31655675;25.70248778;23.64300602
28.21499112;23.72511652;18.66902622;21.22474237;17.13913949;22.51728534;23.57474133;21.185671;26.11252789;21.14167076;20.30454948;25.10571666;17.8099601;21.40988153;18.21864197;21.30354758;27.50926943;26.41845063;17.71141183;22.36609631;28.81599139;24.0930613;23.64758294;24.56690433;23.54302147
27.99697678;24.29429115;19.11214896;22.0694274;19.5284956;22.67399708;23.14202784;22.42543887;26.90144795;21.75763264;21.09782549;23.74726005;16.83395043;22.68377176;19.96394057;21.30590679;28.36772117;27.23891743;20.4256857;22.68045798;29.12888364;23.26408904;26.17279211;25.58281998;22.99013186
27.81470441;25.0440694;21.0795075;22.77874481;20.5390019;22.92694416;21.28494382;24.25712378;28.16009589;22.51636462;22.92219024;23.66544692;17.1338821;21.83645646;18.20435574;21.69578242;29.96617106;27.65840555;20.49745682;24.17702011;29.68314249;21.25309753;27.89949903;26.70498342;22.4055378
28.74641435;25.30082735;22.84076357;23.10680019;23.98403618;23.60750686;21.21644151;25.64827975;30.54149356;23.05446568;23.98381676;24.7787891;17.87258034;20.60529968;17.02799775;21.74161408;31.12271513;29.81008524;20.03347395;23.80707531;26.85839678;21.63342856;27.11675312;29.21598011;21.96016049
27.71157687;25.49875271;23.98480071;21.85351561;23.68182216;24.41884996;20.66461826;25.90000702;29.65937809;23.2704248;22.17266309;25.39403327;19.26001148;21.12001439;19.11916242;22.00552968;31.96078373;34.35248738;20.30387366;23.44913252;22.84253061;20.67358405;26.72417643;28.85818091;21.22674168
24.6032779;26.57911713;22.39579956;20.40589368;20.51605466;24.88707431;19.74357878;25.16120651;25.85382121;23.06419035;19.50772108;24.7948569;17.63286194;21.40604843;23.93682138;21.60794464;31.58262379;36.0630782;21.86529432;22.84038681;21.7572242;17.65988171;25.41769672;25.89240946;20.06511123
22.86308672;26.16551523;22.10218709;19.52469607;23.21214638;25.01981927;18.6837504;23.16200876;22.20454438;21.96710006;18.21488612;23.40791686;17.34648108;19.61502374;23.53683062;21.05580901;30.36949218;34.17262732;18.5183461;22.62092176;20.8851878;17.86963954;24.16653671;22.79222037;19.76970012
23.50347573;25.65013271;21.32199843;18.79373187;25.94719441;23.89534185;17.91833539;21.29348042;19.1386388;20.59301431;17.40012491;22.26736131;15.94757133;17.74907403;22.77088118;18.857249;29.19765561;33.57189853;20.53640439;21.81251664;21.30886135;19.5320361;22.65924729;19.24276573;20.03137216
23.96987455;26.29672567;20.80231233;19.52696724;24.37635986;23.93511411;18.22642992;21.14182816;18.64533756;20.31213517;17.8013167;20.49192034;17.02379846;17.30636024;23.13398974;18.56771996;28.2317223;33.61828201;19.38754167;21.23661615;21.63282411;21.29446488;22.6826553;19.26809456;20.34369762
25.12100199;25.42982224;21.23564184;18.46737044;25.14327574;23.30110745;19.47480084;22.02174003;19.2743212;19.96445619;19.57958004;20.44684209;18.11637519;17.00607284;24.00587132;19.12345588;27.7508641;34.49734245;18.67191436;21.48098547;21.44739411;22.42486149;23.26912429;19.50841013;20.79824532
24.15992197;25.92190973;21.42204198;18.91671843;26.38111137;22.76031194;19.60489842;21.8081444;20.50558495;19.7546368;20.15477362;21.42194112;19.80580068;20.56036711;24.31603178;18.93004348;28.14233375;34.64185439;18.90744154;22.1511099;21.83069946;22.34469552;23.79646725;20.02510319;21.24898151
24.05471243;25.52720333;21.98948233;20.42455091;27.11256139;22.4385514;20.81510894;22.26044255;21.37297043;19.41482098;18.90655227;20.6548706;21.09791063;21.34714182;23.3982539;18.87584344;27.56690914;32.81437553;20.39414976;22.22124226;23.55921719;22.14933182;25.9836904;19.73949876;21.53913886
25.18782114;25.58318976;22.16324191;20.63860451;26.12776018;22.59779184;21.56615413;23.40382137;22.22508348;19.80032029;19.2484734;23.90046743;22.62327384;25.60998484;21.50284679;19.20044608;25.81450734;27.84490034;20.4757924;22.4852696;26.52296439;20.55825256;27.33370322;20.60147937;22.14735166
25.47225021;25.04165063;22.23507835;20.31292266;20.84118973;22.90637838;20.91998444;24.87447755;22.44037724;20.7034859;19.23471443;24.88546593;24.23811588;23.40571429;21.49616392;19.59603376;25.48603376;27.22647243;22.06071625;23.59895865;23.47410644;21.87501104;27.57858628;21.37547847;22.68838949
26.02620523;25.69770273;22.59661109;19.740185;20.24292855;23.02592855;21.50760563;26.14437137;23.08584261;21.4170442;19.13314158;24.98230815;23.97343953;24.31988286;20.38916648;20.42348076;25.20601734;31.6168137;19.52487426;22.87714982;19.82291765;20.85029364;27.99107626;22.09638214;23.0386088
23.28340009;24.84033082;22.44771799;20.32362499;21.07567874;21.74438743;21.30335116;26.2315447;22.90271883;21.42385;18.68070212;24.24585755;24.09786574;23.13797821;19.73323304;20.48505331;24.2978246;30.67367003;21.63218342;22.43377709;19.53252779;21.4865079;27.36713847;22.46597233;22.41187578
24.36283331;23.55517632;20.70147324;20.18996603;20.5489265;20.1196131;20.98461927;26.6238082;21.62736278;20.86888015;18.66052735;23.12758282;23.69848593;19.81152357;19.09499076;21.19486301;22.88133556;30.38544167;20.39315217;21.29043369;19.44614118;21.90941505;25.84283685;21.65322374;21.40794355
26.08962201;24.16558153;20.53100731;20.18766245;20.22682882;19.56843553;20.69941138;27.65460402;21.80656995;20.94784657;18.1925621;24.82168147;24.37147801;21.42853032;17.97703845;20.71093574;22.49628549;31.2501896;20.30009853;20.73530197;18.87666992;23.22841149;23.7450764;21.27101723;21.49240661
26.60720193;23.64000745;21.45651015;21.04419823;19.36298533;19.22004957;20.80824012;28.52371665;22.29534885;21.28042507;18.10457532;24.53698739;26.55775834;24.84676765;18.07095934;20.82679556;22.19203602;31.19972293;20.69434866;20.31991728;19.60548401;24.17915905;23.39399206;21.58649467;22.00648346
27.03878111;23.11164056;22.23300659;22.01699853;21.24482716;19.06023971;21.07149093;29.89170032;22.95741147;21.72273019;18.00287941;20.65600918;28.91384067;29.48228636;18.42111076;21.14810199;22.34039091;30.86100601;19.00078599;20.44090882;20.34222215;24.67207517;23.09744687;22.13753271;22.76792717
28.02194058;22.67342895;22.63049534;23.04827839;19.06481257;19.73667476;23.45432644;31.05298351;22.78725943;22.38873298;18.16066668;23.07528101;29.12409283;35.72058849;18.58716933;21.47845194;22.67593208;30.74046746;17.60760033;21.15655583;20.93348476;23.87184924;22.50080753;22.99991514;22.8496362
27.76083045;22.99795039;23.44081908;23.38022862;19.83565459;20.09644996;23.68956064;31.04643105;24.17302663;23.13131209;18.48468152;25.74690409;27.59217986;29.25341997;19.55411713;21.55965619;22.57052583;30.51392475;18.00312629;21.61996553;23.45772793;23.91658974;22.4811746;23.88878796;22.11341839
28.75124531;23.37790103;24.27942974;23.48311699;24.69797632;20.25332093;22.9952819;29.21178599;24.38942548;23.55502668;17.94432647;23.72809806;24.19786568;25.40640348;19.17810896;21.23120269;22.43817104;31.38203239;19.4008928;22.12147331;22.45112037;22.76531134;22.83770684;24.31999773;21.00365375
28.21201297;22.48242766;22.87598333;22.22734168;21.80194101;19.1383016;19.91209966;24.32722231;22.75160333;22.03797079;16.13055142;20.92603746;19.65880296;15.16112105;18.00425157;19.97641669;20.79865229;31.31846463;18.02825408;21.0060714;23.12023963;20.36654481;21.14971826;22.31719603;18.53636438
27.75870226;21.59731265;22.29327923;23.33329524;20.98769521;19.33154001;18.25953813;23.03487885;21.87760556;22.07011225;16.05516038;17.2659781;15.79461148;14.09303482;18.25323279;19.9291783;19.99048891;30.50036829;16.66869863;19.73818391;20.59500658;19.88170417;20.52895074;22.25330498;17.98344762
26.73189546;22.56622661;23.00435624;23.39230085;22.36412198;20.16490682;18.30273088;21.4176294;22.2376301;22.41390697;16.12058526;15.401592;14.53681341;15.48265538;20.10916941;19.63789648;20.6036017;30.24319398;18.01539245;20.28248842;21.33004152;20.07429394;18.4210855;22.6915774;18.27563812
28.17541068;22.5508026;22.9903831;24.22423641;24.06035809;20.04578348;18.30355923;19.74661615;22.26754691;22.47829227;16.23931366;11.71120839;15.63639079;16.14322748;20.27361403;18.33332797;21.051865;29.56949061;18.35547339;19.05879084;22.25219951;21.13647447;15.83866792;22.63840643;18.76935188
28.32740719;22.18316736;22.3265746;23.89459271;23.82524862;19.78394578;18.32444247;18.52016001;21.14507785;22.10818;16.46601935;11.21042018;15.17662216;15.4430369;19.46844367;17.41760695;21.72722691;29.26229991;17.05856505;18.24637435;23.64617321;22.00785311;14.58514985;22.09921759;18.90648843
