AUS;AUT;BEL;CAN;CHL;DEU;DNK;ESP;FIN;FRA;GBR;GRC;IRL;ISL;ISR;ITA;JPN;KOR;LUX;NLD;NOR;NZL;PRT;SWE;USA
31.52178286;31.81180245;29.31922135;25.94021428;8.654804746;28.12845738;26.67210086;27.13873758;29.57634021;28.75025674;23.44860931;40.61153294;19.18370508;33.10528316;-0.430767643;24.19109622;37.87555737;21.13315719;43.50572744;30.25816177;32.81663691;27.35838804;25.89121248;31.34967255;23.5681185
30.52752141;31.37272994;30.59911584;26.53682821;25.51547645;25.83108187;24.89001581;26.41013519;33.15149557;27.91018702;21.54519579;31.80295655;14.06465165;29.94711758;7.494861024;25.65708463;36.34849607;19.60808047;48.28458153;29.1391646;33.81655683;22.70038772;17.79630464;31.03327616;22.5894552
26.38914282;26.91001329;26.76032203;23.91853629;14.99436139;22.59806915;22.25255923;25.66870513;30.08115824;25.77079108;21.00774201;29.94209784;16.34334259;30.31411458;-3.415676291;23.56319812;32.60746451;18.96864238;33.33108655;27.2915385;31.66326252;20.75536315;9.869887722;31.9677941;21.17507046
26.60526189;26.26610825;27.07373019;24.53550956;20.02285419;23.18742179;21.99488615;23.38291707;27.03385085;25.43972262;23.58648127;32.02661177;16.55078371;31.55944215;-2.700270027;25.18053952;32.42278706;23.2412557;33.98553059;26.99176261;30.52993336;24.74899383;14.36817218;29.69853869;21.90254528
26.36902468;25.49912973;25.78430696;24.11136463;15.5446973;22.90720201;21.86539727;23.62762836;29.27855561;25.32654302;24.77880331;27.56108125;17.88006602;31.79659186;3.432939541;25.10823029;32.26219404;26.23974789;30.4877006;25.77427863;29.00555737;23.64812601;18.44766931;25.99456926;22.37254009
24.87932844;25.24722163;25.45538873;23.82155599;17.68653634;23.44533039;21.90606974;24.14079045;27.47114543;25.26413637;24.7850288;27.45568801;18.23594972;29.76174921;0.619077701;25.70321902;32.42878356;27.64299446;31.15458761;24.68804597;30.29997376;22.91375265;21.99456205;25.04089571;23.70266956
26.82476054;27.96167855;24.02848924;25.75906319;18.22570592;23.69265458;21.42353145;23.07526585;28.79852354;25.15935208;24.00037628;27.39401077;16.1837238;28.29346907;3.027646662;25.19844922;31.40142363;27.30028266;32.2475648;23.65558505;30.93132937;22.10566497;22.24086445;25.99401432;24.2091986
27.63051133;25.50973873;23.53752568;25.43046283;16.86437463;22.42929461;20.27912236;21.33678174;29.92399501;24.11790535;22.46761581;25.12052245;13.77322229;29.32375276;6.842454216;23.84675323;31.14904617;22.51027068;30.10423997;24.34234921;34.31266279;20.44531724;22.68018649;26.51392217;22.81179804
26.86017532;24.69219796;20.2409656;26.19365892;12.36068035;20.54122765;18.88208671;19.86182243;29.353704;21.95269244;21.10946355;20.99638296;13.66571723;27.60102811;3.654939883;22.44789655;31.7139137;22.66131766;27.4175246;25.39071883;34.97217907;22.23836169;20.91464657;24.39632603;23.85742537
26.56435147;24.09687897;19.61306602;23.88656011;9.397234268;20.36255764;19.65135066;19.982319;28.82725129;21.25666721;20.96281045;22.79098338;19.41163291;25.79294747;3.939755763;22.18490936;30.35974429;24.41392113;29.05167811;24.77210504;33.81858653;23.50503346;20.96526309;23.64600431;21.46523607
23.28179467;21.66705707;18.85708619;23.57030965;12.54604361;20.80145734;21.03847787;20.10217767;28.36158192;21.38856891;20.91810861;20.84246655;19.59991508;24.87471133;5.311381318;22.465392;29.42035147;26.03995785;30.45268178;24.67746921;34.16448537;25.67588027;19.47974306;25.81213759;20.80843508
25.21149006;22.84887441;20.09350434;24.64588061;12.56784338;20.76572629;22.79647143;21.6696556;29.57867584;21.26096318;20.98081546;22.9490203;20.69623535;25.06049709;7.13724753;22.61144061;30.2345101;27.96849522;33.50742664;27.17814;36.27049909;26.43886399;16.99228931;28.20629544;22.53427014
